set_name,name,price_market,rarity,variant,condition,name_norm,set_norm
Magnificent Mavens,Vampire's Curse,0.1,Ultra Rare,1st Edition,Moderately Played,vampires curse,magnificent mavens
25th Anniversary Rarity Collection,Inspector Boarder,0.1,Super Rare,1st Edition,Lightly Played,inspector boarder,25th anniversary rarity collection
25th Anniversary Rarity Collection,Striker Dragon (UR),0.1,Ultra Rare,1st Edition,Lightly Played,striker dragon ur,25th anniversary rarity collection
Shadows in Valhalla,Goddess Verdande's Guidance,0.1,Super Rare,1st Edition,Moderately Played,goddess verdandes guidance,shadows in valhalla
25th Anniversary Rarity Collection,"Selene, Queen of the Master Magicians",0.1,Super Rare,1st Edition,Heavily Played,selene queen of the master magicians,25th anniversary rarity collection
Shadows in Valhalla,Omega Summon,0.1,Super Rare,1st Edition,Heavily Played,omega summon,shadows in valhalla
Flames of Destruction,Elemental Training,0.1,Ultra Rare,1st Edition,Heavily Played,elemental training,flames of destruction
Flames of Destruction,Waking the Dragon,0.1,Common / Short Print,Unlimited,Lightly Played,waking the dragon,flames of destruction
Duel Power,Nekroz Kaleidoscope,0.1,Ultra Rare,1st Edition,Moderately Played,nekroz kaleidoscope,duel power
25th Anniversary Rarity Collection,Egyptian God Slime,0.1,Super Rare,1st Edition,Damaged,egyptian god slime,25th anniversary rarity collection
25th Anniversary Rarity Collection,Elder Entity N'tss (Secret Rare),0.1,Secret Rare,1st Edition,Damaged,elder entity ntss secret rare,25th anniversary rarity collection
Duel Devastator,Typhoon,0.1,Ultra Rare,1st Edition,Damaged,typhoon,duel devastator
Flames of Destruction,Wind-Up Zenmaintenance,0.1,Super Rare,1st Edition,Heavily Played,windup zenmaintenance,flames of destruction
Flames of Destruction,Trickstar Mandrake,0.1,Common / Short Print,1st Edition,Moderately Played,trickstar mandrake,flames of destruction
Flames of Destruction,Grandsoil the Elemental Lord,0.1,Super Rare,Limited,Moderately Played,grandsoil the elemental lord,flames of destruction
Duel Devastator,Red Reboot,0.1,Ultra Rare,1st Edition,Damaged,red reboot,duel devastator
Shadows in Valhalla,Fortune Chariot,0.1,Super Rare,1st Edition,Lightly Played,fortune chariot,shadows in valhalla
25th Anniversary Rarity Collection,Dimensional Barrier (UR),0.1,Ultra Rare,1st Edition,Damaged,dimensional barrier ur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Junk Speeder (UR),0.1,Ultra Rare,1st Edition,Near Mint,junk speeder ur,25th anniversary rarity collection
Duel Devastator,Tornado Dragon,0.1,Ultra Rare,1st Edition,Heavily Played,tornado dragon,duel devastator
Duel Devastator,Abyss Dweller,0.1,Ultra Rare,1st Edition,Moderately Played,abyss dweller,duel devastator
Duel Power,Booster Dragon,0.1,Ultra Rare,Unlimited,Near Mint,booster dragon,duel power
Duel Power,High Priestess of Prophecy,0.1,Ultra Rare,1st Edition,Damaged,high priestess of prophecy,duel power
Duel Power,Ancient Gear Golem - Ultimate Pound,0.1,Ultra Rare,1st Edition,Heavily Played,ancient gear golem  ultimate pound,duel power
Duel Power,Shining Draw,0.1,Ultra Rare,1st Edition,Heavily Played,shining draw,duel power
Flames of Destruction,F.A. Overheat,0.1,Rare,1st Edition,Near Mint,fa overheat,flames of destruction
Duel Power,Performapal Smile Sorcerer,0.1,Ultra Rare,1st Edition,Lightly Played,performapal smile sorcerer,duel power
Flames of Destruction,Revendread Evolution,0.1,Common / Short Print,Unlimited,Heavily Played,revendread evolution,flames of destruction
Shadows in Valhalla,Strike Ninja,0.1,Super Rare,1st Edition,Lightly Played,strike ninja,shadows in valhalla
Flames of Destruction,Phosphorage the Elemental Lord,0.1,Super Rare,1st Edition,Lightly Played,phosphorage the elemental lord,flames of destruction
25th Anniversary Rarity Collection,Reinforcement of the Army (UR),0.1,Ultra Rare,1st Edition,Heavily Played,reinforcement of the army ur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Pot of Desires (UR),0.1,Ultra Rare,1st Edition,Damaged,pot of desires ur,25th anniversary rarity collection
Shadows in Valhalla,Upstart Golden Ninja,0.09,Super Rare,1st Edition,Moderately Played,upstart golden ninja,shadows in valhalla
Flames of Destruction,Trickstar Nightshade,0.09,Common / Short Print,Unlimited,Moderately Played,trickstar nightshade,flames of destruction
Duel Devastator,Lost Wind,0.09,Ultra Rare,1st Edition,Damaged,lost wind,duel devastator
25th Anniversary Rarity Collection,Eldlich the Golden Lord (Alternate Art) (UR),0.09,Ultra Rare,1st Edition,Damaged,eldlich the golden lord alternate art ur,25th anniversary rarity collection
Magnificent Mavens,Blast Held by Destiny,0.09,Ultra Rare,1st Edition,Lightly Played,blast held by destiny,magnificent mavens
Duel Power,Hieratic Dragon of Tefnuit,0.09,Ultra Rare,1st Edition,Lightly Played,hieratic dragon of tefnuit,duel power
Duel Power,Gouki The Great Ogre,0.09,Ultra Rare,1st Edition,Lightly Played,gouki the great ogre,duel power
25th Anniversary Rarity Collection,Blackwing - Simoon the Poison Wind (Secret Rare),0.09,Secret Rare,1st Edition,Damaged,blackwing  simoon the poison wind secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,"Cherubini, Ebon Angel of the Burning Abyss",0.09,Super Rare,1st Edition,Lightly Played,cherubini ebon angel of the burning abyss,25th anniversary rarity collection
25th Anniversary Rarity Collection,Summon Limit,0.09,Super Rare,1st Edition,Lightly Played,summon limit,25th anniversary rarity collection
Duel Power,Hieratic Dragon King of Atum,0.09,Ultra Rare,1st Edition,Damaged,hieratic dragon king of atum,duel power
Flames of Destruction,Greatfly,0.09,Rare,1st Edition,Lightly Played,greatfly,flames of destruction
Magnificent Mavens,Swordsoul Auspice Chunjun,0.09,Ultra Rare,1st Edition,Lightly Played,swordsoul auspice chunjun,magnificent mavens
25th Anniversary Rarity Collection,Chaos Space,0.09,Super Rare,1st Edition,Damaged,chaos space,25th anniversary rarity collection
Shadows in Valhalla,Elemental HERO Neos,0.09,Super Rare,1st Edition,Heavily Played,elemental hero neos,shadows in valhalla
25th Anniversary Rarity Collection,"Dingirsu, the Orcust of the Evening Star (UR)",0.08,Ultra Rare,1st Edition,Moderately Played,dingirsu the orcust of the evening star ur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Tri-Brigade Revolt (Secret Rare),0.08,Secret Rare,1st Edition,Damaged,tribrigade revolt secret rare,25th anniversary rarity collection
Magnificent Mavens,Magician's Restage,0.08,Ultra Rare,1st Edition,Lightly Played,magicians restage,magnificent mavens
25th Anniversary Rarity Collection,Shaddoll Schism (Platinum Secret Rare),0.08,Platinum Secret Rare,1st Edition,Damaged,shaddoll schism platinum secret rare,25th anniversary rarity collection
Magnificent Mavens,Witchcrafter Creation,0.08,Ultra Rare,1st Edition,Moderately Played,witchcrafter creation,magnificent mavens
25th Anniversary Rarity Collection,"Alpha, the Master of Beasts",0.08,Super Rare,1st Edition,Near Mint,alpha the master of beasts,25th anniversary rarity collection
25th Anniversary Rarity Collection,Tri-Brigade Revolt (UR),0.08,Ultra Rare,1st Edition,Lightly Played,tribrigade revolt ur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Shaddoll Schism,0.08,Super Rare,1st Edition,Near Mint,shaddoll schism,25th anniversary rarity collection
25th Anniversary Rarity Collection,Tri-Brigade Revolt,0.08,Super Rare,1st Edition,Lightly Played,tribrigade revolt,25th anniversary rarity collection
25th Anniversary Rarity Collection,Spellbook of Judgment,0.08,Super Rare,1st Edition,Damaged,spellbook of judgment,25th anniversary rarity collection
25th Anniversary Rarity Collection,Number 100: Numeron Dragon,0.08,Super Rare,1st Edition,Damaged,number 100 numeron dragon,25th anniversary rarity collection
Duel Devastator,Inspector Boarder,0.08,Ultra Rare,1st Edition,Moderately Played,inspector boarder,duel devastator
25th Anniversary Rarity Collection,Eldlich the Golden Lord (Alternate Art),0.08,Super Rare,1st Edition,Lightly Played,eldlich the golden lord alternate art,25th anniversary rarity collection
25th Anniversary Rarity Collection,"Cherubini, Ebon Angel of the Burning Abyss (UR)",0.08,Ultra Rare,1st Edition,Lightly Played,cherubini ebon angel of the burning abyss ur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Ghostrick Angel of Mischief,0.08,Super Rare,1st Edition,Damaged,ghostrick angel of mischief,25th anniversary rarity collection
25th Anniversary Rarity Collection,Cyber Angel Benten,0.08,Super Rare,1st Edition,Lightly Played,cyber angel benten,25th anniversary rarity collection
Duel Devastator,Anti-Spell Fragrance,0.08,Ultra Rare,1st Edition,Moderately Played,antispell fragrance,duel devastator
25th Anniversary Rarity Collection,Masked HERO Dark Law,0.08,Super Rare,1st Edition,Damaged,masked hero dark law,25th anniversary rarity collection
25th Anniversary Rarity Collection,"Alpha, the Master of Beasts (Secret Rare)",0.08,Secret Rare,1st Edition,Moderately Played,alpha the master of beasts secret rare,25th anniversary rarity collection
Flames of Destruction,Kai-Den Kendo Spirit,0.08,Common / Short Print,Unlimited,Heavily Played,kaiden kendo spirit,flames of destruction
25th Anniversary Rarity Collection,Galaxy-Eyes Afterglow Dragon,0.08,Super Rare,1st Edition,Lightly Played,galaxyeyes afterglow dragon,25th anniversary rarity collection
25th Anniversary Rarity Collection,Ghostrick Angel of Mischief (UR),0.08,Ultra Rare,1st Edition,Damaged,ghostrick angel of mischief ur,25th anniversary rarity collection
Flames of Destruction,Backup Operator,0.08,Rare,Unlimited,Lightly Played,backup operator,flames of destruction
Flames of Destruction,Monster Reborn Reborn,0.08,Common / Short Print,1st Edition,Damaged,monster reborn reborn,flames of destruction
Duel Power,Decode Destruction,0.08,Ultra Rare,Unlimited,Lightly Played,decode destruction,duel power
Flames of Destruction,Gouki Octostretch,0.08,Common / Short Print,Unlimited,Heavily Played,gouki octostretch,flames of destruction
Flames of Destruction,Altergeist Emulatelf,0.08,Common / Short Print,Unlimited,Heavily Played,altergeist emulatelf,flames of destruction
Magnificent Mavens,Dragonmaid Changeover,0.08,Ultra Rare,1st Edition,Damaged,dragonmaid changeover,magnificent mavens
Shadows in Valhalla,Armor Ninjitsu Art of Rust Mist,0.07,Super Rare,1st Edition,Moderately Played,armor ninjitsu art of rust mist,shadows in valhalla
Flames of Destruction,Inzektor Picofalena,0.07,Common / Short Print,Unlimited,Heavily Played,inzektor picofalena,flames of destruction
Magnificent Mavens,Swordsoul Strife,0.07,Ultra Rare,1st Edition,Lightly Played,swordsoul strife,magnificent mavens
Shadows in Valhalla,Red Dragon Ninja,0.07,Super Rare,1st Edition,Moderately Played,red dragon ninja,shadows in valhalla
Shadows in Valhalla,Ninjitsu Art of Transformation,0.07,Super Rare,1st Edition,Moderately Played,ninjitsu art of transformation,shadows in valhalla
Duel Power,Nekroz Mirror,0.07,Ultra Rare,1st Edition,Lightly Played,nekroz mirror,duel power
Flames of Destruction,Elementsaber Aina,0.07,Common / Short Print,1st Edition,Moderately Played,elementsaber aina,flames of destruction
25th Anniversary Rarity Collection,Cyber Angel Benten (UR),0.07,Ultra Rare,1st Edition,Lightly Played,cyber angel benten ur,25th anniversary rarity collection
Flames of Destruction,Gouki Bearhug,0.07,Common / Short Print,Unlimited,Lightly Played,gouki bearhug,flames of destruction
25th Anniversary Rarity Collection,The Iris Swordsoul,0.07,Super Rare,1st Edition,Lightly Played,the iris swordsoul,25th anniversary rarity collection
Flames of Destruction,Cybersal Cyclone,0.07,Common / Short Print,Unlimited,Near Mint,cybersal cyclone,flames of destruction
25th Anniversary Rarity Collection,Fairy Tail - Luna (UR),0.07,Ultra Rare,1st Edition,Lightly Played,fairy tail  luna ur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Junk Speeder,0.07,Super Rare,1st Edition,Lightly Played,junk speeder,25th anniversary rarity collection
25th Anniversary Rarity Collection,Ice Barrier,0.07,Super Rare,1st Edition,Lightly Played,ice barrier,25th anniversary rarity collection
Flames of Destruction,Three Trolling Trolls,0.06,Common / Short Print,Unlimited,Near Mint,three trolling trolls,flames of destruction
25th Anniversary Rarity Collection,Blackwing - Simoon the Poison Wind (UR),0.06,Ultra Rare,1st Edition,Lightly Played,blackwing  simoon the poison wind ur,25th anniversary rarity collection
Duel Power,Righty Driver,0.06,Ultra Rare,Unlimited,Moderately Played,righty driver,duel power
Duel Devastator,Majesty's Fiend,0.06,Ultra Rare,1st Edition,Damaged,majestys fiend,duel devastator
Magnificent Mavens,Swordsoul Assessment,0.06,Ultra Rare,1st Edition,Lightly Played,swordsoul assessment,magnificent mavens
Flames of Destruction,Elementsaber Malo,0.06,Common / Short Print,1st Edition,Lightly Played,elementsaber malo,flames of destruction
25th Anniversary Rarity Collection,Blackwing - Simoon the Poison Wind,0.06,Super Rare,1st Edition,Lightly Played,blackwing  simoon the poison wind,25th anniversary rarity collection
Flames of Destruction,Shaddoll Construct,0.06,Common / Short Print,Unlimited,Lightly Played,shaddoll construct,flames of destruction
Shadows in Valhalla,Valkyrie Erste,0.05,Super Rare,1st Edition,Heavily Played,valkyrie erste,shadows in valhalla
25th Anniversary Rarity Collection,Magicalized Fusion,0.05,Super Rare,1st Edition,Moderately Played,magicalized fusion,25th anniversary rarity collection
25th Anniversary Rarity Collection,Baronne de Fleur,0.05,Super Rare,1st Edition,Moderately Played,baronne de fleur,25th anniversary rarity collection
Shadows in Valhalla,Valkyrie Zweite,0.05,Super Rare,1st Edition,Heavily Played,valkyrie zweite,shadows in valhalla
Shadows in Valhalla,Armor Ninjitsu Art of Alchemy,0.05,Super Rare,1st Edition,Moderately Played,armor ninjitsu art of alchemy,shadows in valhalla
Duel Power,Cyberse Enchanter,0.05,Ultra Rare,1st Edition,Moderately Played,cyberse enchanter,duel power
Magnificent Mavens,"Therion ""Bull"" Ain",0.05,Ultra Rare,1st Edition,Lightly Played,therion bull ain,magnificent mavens
Shadows in Valhalla,Twilight Ninja Jogen,0.05,Super Rare,1st Edition,Lightly Played,twilight ninja jogen,shadows in valhalla
Duel Devastator,Decode Talker,0.05,Ultra Rare,1st Edition,Moderately Played,decode talker,duel devastator
Flames of Destruction,Degrade Buster,0.05,Super Rare,Unlimited,Heavily Played,degrade buster,flames of destruction
Flames of Destruction,World Legacy's Nightmare,0.05,Common / Short Print,1st Edition,Lightly Played,world legacys nightmare,flames of destruction
Flames of Destruction,Protron,0.05,Common / Short Print,Unlimited,Lightly Played,protron,flames of destruction
Flames of Destruction,Heartless Drop Off,0.05,Rare,1st Edition,Moderately Played,heartless drop off,flames of destruction
Flames of Destruction,Crystal Keeper,0.05,Common / Short Print,Unlimited,Lightly Played,crystal keeper,flames of destruction
Duel Power,Stardust Wish,0.05,Ultra Rare,1st Edition,Heavily Played,stardust wish,duel power
Flames of Destruction,The Sanctified Darklord,0.05,Rare,Unlimited,Heavily Played,the sanctified darklord,flames of destruction
Duel Power,Tactical Exchanger,0.05,Ultra Rare,Unlimited,Lightly Played,tactical exchanger,duel power
Magnificent Mavens,"Therion ""Duke"" Yul",0.05,Ultra Rare,1st Edition,Lightly Played,therion duke yul,magnificent mavens
Flames of Destruction,Limit Code,0.05,Common / Short Print,Unlimited,Lightly Played,limit code,flames of destruction
Flames of Destruction,World Legacy Struggle,0.05,Rare,1st Edition,Lightly Played,world legacy struggle,flames of destruction
Flames of Destruction,Defrag Dragon,0.05,Common / Short Print,1st Edition,Moderately Played,defrag dragon,flames of destruction
25th Anniversary Rarity Collection,Decode Talker Heatsoul,0.05,Super Rare,1st Edition,Moderately Played,decode talker heatsoul,25th anniversary rarity collection
25th Anniversary Rarity Collection,Striker Dragon,0.05,Super Rare,1st Edition,Moderately Played,striker dragon,25th anniversary rarity collection
Flames of Destruction,Elementsaber Lapauila Mana,0.05,Super Rare,1st Edition,Heavily Played,elementsaber lapauila mana,flames of destruction
25th Anniversary Rarity Collection,Ice Barrier (UR),0.05,Ultra Rare,1st Edition,Lightly Played,ice barrier ur,25th anniversary rarity collection
Flames of Destruction,Watch Cat,0.05,Common / Short Print,Unlimited,Heavily Played,watch cat,flames of destruction
Duel Power,Star Seraph Sovereignty,0.05,Ultra Rare,Unlimited,Near Mint,star seraph sovereignty,duel power
Flames of Destruction,Madolche Fresh Sistart,0.05,Common / Short Print,Unlimited,Heavily Played,madolche fresh sistart,flames of destruction
Duel Devastator,"Gaia Saber, the Lightning Shadow",0.05,Ultra Rare,1st Edition,Moderately Played,gaia saber the lightning shadow,duel devastator
Duel Devastator,Underclock Taker,0.05,Ultra Rare,1st Edition,Heavily Played,underclock taker,duel devastator
Duel Devastator,Forbidden Apocrypha,0.05,Ultra Rare,1st Edition,Moderately Played,forbidden apocrypha,duel devastator
Duel Power,Galaxy-Eyes Full Armor Photon Dragon,0.05,Ultra Rare,1st Edition,Heavily Played,galaxyeyes full armor photon dragon,duel power
Flames of Destruction,Elementsaber Nalu,0.05,Super Rare,1st Edition,Moderately Played,elementsaber nalu,flames of destruction
Flames of Destruction,Elementsaber Makani,0.05,Ultra Rare,1st Edition,Heavily Played,elementsaber makani,flames of destruction
25th Anniversary Rarity Collection,Fairy Tail - Luna,0.04,Super Rare,1st Edition,Lightly Played,fairy tail  luna,25th anniversary rarity collection
Shadows in Valhalla,Advanced Dark,0.04,Super Rare,1st Edition,Lightly Played,advanced dark,shadows in valhalla
Flames of Destruction,Trancefamiliar,0.04,Common / Short Print,1st Edition,Lightly Played,trancefamiliar,flames of destruction
Duel Power,Decode Talker,0.04,Ultra Rare,Limited,Moderately Played,decode talker,duel power
Flames of Destruction,Restoration of the Monarchs,0.04,Common / Short Print,Unlimited,Lightly Played,restoration of the monarchs,flames of destruction
Duel Power,Gold Gadget,0.04,Ultra Rare,Unlimited,Moderately Played,gold gadget,duel power
25th Anniversary Rarity Collection,Blue-Eyes Abyss Dragon,0.04,Super Rare,1st Edition,Lightly Played,blueeyes abyss dragon,25th anniversary rarity collection
Duel Power,Star Seraph Scepter,0.04,Ultra Rare,1st Edition,Lightly Played,star seraph scepter,duel power
Flames of Destruction,Altergeist Pixiel,0.04,Common / Short Print,1st Edition,Lightly Played,altergeist pixiel,flames of destruction
Flames of Destruction,Mamemaki,0.04,Common / Short Print,1st Edition,Lightly Played,mamemaki,flames of destruction
Duel Power,Silver Gadget,0.04,Ultra Rare,1st Edition,Moderately Played,silver gadget,duel power
Duel Power,Lefty Driver,0.04,Ultra Rare,Unlimited,Moderately Played,lefty driver,duel power
Flames of Destruction,Prompthorn,0.04,Common / Short Print,1st Edition,Lightly Played,prompthorn,flames of destruction
25th Anniversary Rarity Collection,Wynn the Wind Channeler (UR),0.04,Ultra Rare,1st Edition,Lightly Played,wynn the wind channeler ur,25th anniversary rarity collection
Duel Devastator,Gate Blocker,0.03,Ultra Rare,1st Edition,Lightly Played,gate blocker,duel devastator
Magnificent Mavens,Galaxy-Eyes Afterglow Dragon,0.03,Ultra Rare,1st Edition,Damaged,galaxyeyes afterglow dragon,magnificent mavens
Flames of Destruction,Boycotton,0.03,Common / Short Print,Unlimited,Lightly Played,boycotton,flames of destruction
Flames of Destruction,Tindangle Trinity,0.03,Common / Short Print,1st Edition,Lightly Played,tindangle trinity,flames of destruction
Flames of Destruction,World Legacy's Corruption,0.03,Common / Short Print,Unlimited,Moderately Played,world legacys corruption,flames of destruction
Flames of Destruction,Altergeist Kidolga,0.03,Common / Short Print,1st Edition,Moderately Played,altergeist kidolga,flames of destruction
Flames of Destruction,Rainbow Refraction,0.03,Super Rare,Unlimited,Moderately Played,rainbow refraction,flames of destruction
Flames of Destruction,Background Dragon,0.03,Common / Short Print,1st Edition,Lightly Played,background dragon,flames of destruction
Flames of Destruction,Link Streamer,0.03,Common / Short Print,Unlimited,Lightly Played,link streamer,flames of destruction
Duel Devastator,Decode Talker Extended,0.03,Ultra Rare,1st Edition,Moderately Played,decode talker extended,duel devastator
25th Anniversary Rarity Collection,Wynn the Wind Channeler,0.03,Super Rare,1st Edition,Lightly Played,wynn the wind channeler,25th anniversary rarity collection
Duel Power,Double Hero Attack,0.03,Ultra Rare,1st Edition,Heavily Played,double hero attack,duel power
Flames of Destruction,Yajiro Invader,0.02,Common / Short Print,Unlimited,Lightly Played,yajiro invader,flames of destruction
Flames of Destruction,Staring Contest,0.02,Common / Short Print,Unlimited,Damaged,staring contest,flames of destruction
Shadows in Valhalla,Cyberdark Impact!,0.02,Super Rare,1st Edition,Moderately Played,cyberdark impact,shadows in valhalla
25th Anniversary Rarity Collection,Ice Dragon's Prison (UR),0.02,Ultra Rare,1st Edition,Moderately Played,ice dragons prison ur,25th anniversary rarity collection
Duel Power,El Shaddoll Fusion,0.02,Ultra Rare,1st Edition,Heavily Played,el shaddoll fusion,duel power
Flames of Destruction,Crystal Master,0.02,Common / Short Print,Unlimited,Lightly Played,crystal master,flames of destruction
Flames of Destruction,"World Legacy - ""World Lance""",0.02,Rare,1st Edition,Near Mint,world legacy  world lance,flames of destruction
25th Anniversary Rarity Collection,Reasoning,0.02,Super Rare,1st Edition,Damaged,reasoning,25th anniversary rarity collection
25th Anniversary Rarity Collection,Spellbook of Judgment (UR),0.02,Ultra Rare,1st Edition,Moderately Played,spellbook of judgment ur,25th anniversary rarity collection
Flames of Destruction,F.A. Dead Heat,0.01,Common / Short Print,1st Edition,Lightly Played,fa dead heat,flames of destruction
Magnificent Mavens,Shiranui Solitaire,0.01,Ultra Rare,1st Edition,Damaged,shiranui solitaire,magnificent mavens
25th Anniversary Rarity Collection,Code Talker Inverted,0.01,Super Rare,1st Edition,Heavily Played,code talker inverted,25th anniversary rarity collection
Flames of Destruction,Vendread Daybreak,0.01,Common / Short Print,1st Edition,Moderately Played,vendread daybreak,flames of destruction
Flames of Destruction,Flower Cardian Moonflowerviewing,0.01,Common / Short Print,1st Edition,Moderately Played,flower cardian moonflowerviewing,flames of destruction
25th Anniversary Rarity Collection,Shaddoll Schism (UR),0.01,Ultra Rare,1st Edition,Moderately Played,shaddoll schism ur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Blue-Eyes Abyss Dragon (UR),0.01,Ultra Rare,1st Edition,Moderately Played,blueeyes abyss dragon ur,25th anniversary rarity collection
Flames of Destruction,Space Insulator,0.01,Common / Short Print,1st Edition,Lightly Played,space insulator,flames of destruction
25th Anniversary Rarity Collection,Fairy Tail - Luna (Platinum Secret Rare),0.01,Platinum Secret Rare,1st Edition,Lightly Played,fairy tail  luna platinum secret rare,25th anniversary rarity collection
Flames of Destruction,Crystal Conclave,0.01,Common / Short Print,Unlimited,Lightly Played,crystal conclave,flames of destruction
Flames of Destruction,Vendread Nightmare,0.01,Common / Short Print,1st Edition,Moderately Played,vendread nightmare,flames of destruction
Flames of Destruction,World Legacy's Memory,0.01,Super Rare,Limited,Damaged,world legacys memory,flames of destruction
25th Anniversary Rarity Collection,Danger!? Jackalope? (UR),0.01,Ultra Rare,1st Edition,Heavily Played,danger jackalope ur,25th anniversary rarity collection
Flames of Destruction,Gergonne's End,0.01,Common / Short Print,Unlimited,Lightly Played,gergonnes end,flames of destruction
25th Anniversary Rarity Collection,Eldlich the Golden Lord,0.01,Super Rare,1st Edition,Moderately Played,eldlich the golden lord,25th anniversary rarity collection
Magnificent Mavens,"Rilliona, the Magistus of Verre",0.01,Ultra Rare,1st Edition,Damaged,rilliona the magistus of verre,magnificent mavens
Duel Devastator,"Trishula, Dragon of the Ice Barrier",0.01,Ultra Rare,1st Edition,Damaged,trishula dragon of the ice barrier,duel devastator
Duel Power,Odd-Eyes Pendulum Dragon,0.01,Ultra Rare,Limited,Heavily Played,oddeyes pendulum dragon,duel power
Shadows in Valhalla,Elemental HERO Chaos Neos,0.01,Super Rare,1st Edition,Moderately Played,elemental hero chaos neos,shadows in valhalla
Magnificent Mavens,Exchange of Despair and Hope,0.01,Ultra Rare,1st Edition,Lightly Played,exchange of despair and hope,magnificent mavens
