set_name,name,price_market,rarity,variant,condition,name_norm,set_norm
Flames of Destruction,Red Reboot,0.2,Super Rare,1st Edition,Moderately Played,red reboot,flames of destruction
25th Anniversary Rarity Collection,Dark Ruler No More,0.2,Super Rare,1st Edition,Moderately Played,dark ruler no more,25th anniversary rarity collection
Duel Power,Super Quantal Mech King Great Magnus,0.2,Ultra Rare,1st Edition,Heavily Played,super quantal mech king great magnus,duel power
Shadows in Valhalla,Golden Bamboo Sword,0.19,Super Rare,1st Edition,Damaged,golden bamboo sword,shadows in valhalla
Shadows in Valhalla,Dragunity Knight - Vajrayana,0.19,Secret Rare,1st Edition,Heavily Played,dragunity knight  vajrayana,shadows in valhalla
25th Anniversary Rarity Collection,Borreload Savage Dragon,0.19,Super Rare,1st Edition,Lightly Played,borreload savage dragon,25th anniversary rarity collection
25th Anniversary Rarity Collection,Shaddoll Schism (Secret Rare),0.19,Secret Rare,1st Edition,Lightly Played,shaddoll schism secret rare,25th anniversary rarity collection
Duel Devastator,Heavy Storm Duster,0.19,Ultra Rare,1st Edition,Lightly Played,heavy storm duster,duel devastator
Flames of Destruction,Gouki Face Turn,0.19,Rare,1st Edition,Lightly Played,gouki face turn,flames of destruction
25th Anniversary Rarity Collection,Shaddoll Schism (PUR),0.19,Prismatic Ultimate Rare,1st Edition,Lightly Played,shaddoll schism pur,25th anniversary rarity collection
Duel Devastator,Ghost Reaper & Winter Cherries,0.19,Ultra Rare,1st Edition,Moderately Played,ghost reaper  winter cherries,duel devastator
Flames of Destruction,Trickstar Bouquet,0.19,Rare,1st Edition,Moderately Played,trickstar bouquet,flames of destruction
Duel Power,Nekroz of Clausolas,0.19,Ultra Rare,Unlimited,Moderately Played,nekroz of clausolas,duel power
25th Anniversary Rarity Collection,Fossil Dig (UR),0.19,Ultra Rare,1st Edition,Lightly Played,fossil dig ur,25th anniversary rarity collection
Duel Power,Number 39: Utopia,0.19,Ultra Rare,Limited,Lightly Played,number 39 utopia,duel power
Magnificent Mavens,Gravekeeper's Trap,0.19,Ultra Rare,1st Edition,Lightly Played,gravekeepers trap,magnificent mavens
Magnificent Mavens,A Hero Lives,0.19,Ultra Rare,1st Edition,Near Mint,a hero lives,magnificent mavens
Flames of Destruction,Iron Dragon Tiamaton,0.19,Ultra Rare,Unlimited,Lightly Played,iron dragon tiamaton,flames of destruction
Shadows in Valhalla,Goddess Skuld's Oracle,0.19,Super Rare,1st Edition,Lightly Played,goddess skulds oracle,shadows in valhalla
25th Anniversary Rarity Collection,Egyptian God Slime (UR),0.19,Ultra Rare,1st Edition,Moderately Played,egyptian god slime ur,25th anniversary rarity collection
Flames of Destruction,Monster Reborn Reborn (FLOD-ENSP1),0.18,Ultra Rare,Limited,Moderately Played,monster reborn reborn flodensp1,flames of destruction
Shadows in Valhalla,Forbidden Trapezohedron,0.18,Secret Rare,1st Edition,Near Mint,forbidden trapezohedron,shadows in valhalla
25th Anniversary Rarity Collection,Reasoning (Secret Rare),0.18,Secret Rare,1st Edition,Moderately Played,reasoning secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Fallen of Albaz (UR),0.18,Ultra Rare,1st Edition,Lightly Played,fallen of albaz ur,25th anniversary rarity collection
Magnificent Mavens,Bururu @Ignister,0.18,Ultra Rare,1st Edition,Near Mint,bururu ignister,magnificent mavens
Duel Devastator,Wave-Motion Cannon,0.18,Ultra Rare,1st Edition,Damaged,wavemotion cannon,duel devastator
25th Anniversary Rarity Collection,Lonefire Blossom (UR),0.18,Ultra Rare,1st Edition,Lightly Played,lonefire blossom ur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Downerd Magician,0.18,Super Rare,1st Edition,Lightly Played,downerd magician,25th anniversary rarity collection
Duel Devastator,Denko Sekka,0.18,Ultra Rare,1st Edition,Lightly Played,denko sekka,duel devastator
Magnificent Mavens,Predaplant Ambulomelides,0.18,Ultra Rare,1st Edition,Moderately Played,predaplant ambulomelides,magnificent mavens
