set,name,variant,condition,rarity,price
2025-mega-pack-yugioh,Tales of the White Forest,1st Edition,Near Mint,Prismatic Secret Rare,0.89
2025-mega-pack-yugioh,Light and Darkness Dragonlord,1st Edition,Lightly Played,Starlight Rare,0.85
2025-mega-pack-yugioh,Ext Ryzeal,1st Edition,Near Mint,Prismatic Secret Rare,1.56
2025-mega-pack-yugioh,Wedju Temple,1st Edition,Lightly Played,Prismatic Secret Rare,1.09
2025-mega-pack-yugioh,"Saffira, Dragon Queen of the Voiceless Voice",1st Edition,Lightly Played,Prismatic Secret Rare,1.17
2025-mega-pack-yugioh,Number 90: Galaxy-Eyes Photon Lord,1st Edition,Near Mint,Starlight Rare,1.48
2025-mega-pack-yugioh,Yubel - The Loving Defender Forever,1st Edition,Near Mint,Starlight Rare,0.96
2025-mega-pack-yugioh,Dragonic Diagram,1st Edition,Lightly Played,Prismatic Secret Rare,0.81
2025-mega-pack-yugioh,Maliss P Dormouse,1st Edition,Near Mint,Prismatic Secret Rare,1.17
2025-mega-pack-yugioh,Gadget Trio,1st Edition,Near Mint,Prismatic Secret Rare,1.22
2025-mega-pack-yugioh,Red-Eyes Slash Dragon,1st Edition,Lightly Played,Starlight Rare,0.93
2025-mega-pack-yugioh,Dark End Evaporation Dragon,1st Edition,Lightly Played,Ultra Rare,0.5
2025-mega-pack-yugioh,Fiendsmith Engraver,1st Edition,Lightly Played,Prismatic Secret Rare,0.42
2025-mega-pack-yugioh,Fiendsmith's Agnumday,1st Edition,Lightly Played,Prismatic Secret Rare,0.65
2025-mega-pack-yugioh,Blue-Eyes Tyrant Dragon,1st Edition,Lightly Played,Starlight Rare,0.94
2025-mega-pack-yugioh,Rescue-ACE Hydrant,1st Edition,Near Mint,Starlight Rare,0.96
2025-mega-pack-yugioh,Millennium Ankh,1st Edition,Lightly Played,Starlight Rare,0.9
2025-mega-pack-yugioh,Goblin Biker Big Gabonga,1st Edition,Near Mint,Starlight Rare,0.45
2025-mega-pack-yugioh,Golem that Guards the Millennium Treasures,1st Edition,Near Mint,Ultra Rare,0.56
2025-mega-pack-yugioh,Primite Imperial Dragon,1st Edition,Lightly Played,Prismatic Secret Rare,0.6
2025-mega-pack-yugioh,Centur-Ion Gargoyle II,1st Edition,Near Mint,Ultra Rare,0.14
2025-mega-pack-yugioh,Veidos the Eruption Dragon of Extinction,1st Edition,Moderately Played,Ultra Rare,0.41
2025-mega-pack-yugioh,White Rose Dragon,1st Edition,Lightly Played,Starlight Rare,0.4
2025-mega-pack-yugioh,Mirage of Nightmare,1st Edition,Near Mint,Ultra Rare,0.38
2025-mega-pack-yugioh,Dark Hole,1st Edition,Near Mint,Prismatic Secret Rare,0.87
2025-mega-pack-yugioh,The Hallowed Azamina,1st Edition,Near Mint,Prismatic Secret Rare,0.86
2025-mega-pack-yugioh,Mementomictlan Tecuhtlica - Creation King,1st Edition,Near Mint,Starlight Rare,0.52
2025-mega-pack-yugioh,Legendary Fire King Ponix,1st Edition,Lightly Played,Starlight Rare,0.52
2025-mega-pack-yugioh,Silent Magician Zero,1st Edition,Near Mint,Prismatic Secret Rare,0.81
2025-mega-pack-yugioh,"Chaos Ruler, the Chaotic Magical Dragon",1st Edition,Lightly Played,Prismatic Secret Rare,0.5
2025-mega-pack-yugioh,Mimighoul Throne,1st Edition,Near Mint,Prismatic Secret Rare,0.79
2025-mega-pack-yugioh,Mementotlan Dark Blade,1st Edition,Lightly Played,Prismatic Secret Rare,0.56
2025-mega-pack-yugioh,Chaos Dragon Levianeer,1st Edition,Lightly Played,Starlight Rare,0.68
2025-mega-pack-yugioh,"Skull Guardian, Protector of the Voiceless Voice",1st Edition,Lightly Played,Prismatic Secret Rare,0.66
2025-mega-pack-yugioh,Mementotlan Fusion,1st Edition,Lightly Played,Prismatic Secret Rare,0.5
